Provinsi,Total Produksi Karet (2017-2021)
Aceh  ,436123
Sumatera Utara,1941200
Sumatera Barat,716073
Riau,1611731
Kepulauan Riau,123710
Jambi,1479565
Sumatera Selatan,4698534
Kepulauan Bangka Belitung,274952
Bengkulu,564391
Lampung,764975
DKI Jakarta,0
Jawa Barat,256819
Banten,75411
Jawa Tengah,172776
DI. Yogyakarta,96
Jawa Timur,124916
Bali,977
Nusa  Tenggara Barat,0
Nusa Tenggara Timur,0
Kalimantan Barat,1292707
Kalimantan Tengah,738536
Kalimantan Selatan ,867328
Kalimantan Timur,385390
Kalimantan Utara,3993
Sulawesi Utara,0
Gorontalo,0
Sulawesi Tengah,20676
Sulawesi Selatan,41844
Sulawesi Barat,0
Sulawesi Tenggara,358
Maluku,4903
Maluku Utara,0
Papua,20331
Papua Barat,0
