Provinsi,2017,2018,2019,2020,2021
Aceh  ,98221,93662,85176,74784,84280
Sumatera Utara,460901,418942,387684,327670,346003
Sumatera Barat,152370,152474,141960,132080,137189
Riau,368573,337261,308021,291909,305967
Kepulauan Riau,30159,29406,23275,19020,21850
Jambi,315413,319470,301418,262831,280433
Sumatera Selatan,1035605,1043003,944192,804768,870966
Kepulauan Bangka Belitung,59395,59936,55134,46485,54002
Bengkulu,122357,126341,113568,94122,108003
Lampung,159813,174077,148497,136940,145648
DKI Jakarta,0,0,0,0,0
Jawa Barat,56657,67524,44899,40667,47072
Banten,15516,17607,15777,12745,13766
Jawa Tengah,39668,38481,29514,30870,34243
DI. Yogyakarta,27,29,13,11,16
Jawa Timur,27050,27419,22596,23972,23879
Bali,381,396,97,0,103
Nusa  Tenggara Barat,0,0,0,0,0
Nusa Tenggara Timur,0,0,0,0,0
Kalimantan Barat,275748,272329,261472,236031,247127
Kalimantan Tengah,155229,161915,152195,125921,143276
Kalimantan Selatan ,193131,188375,174608,145089,166125
Kalimantan Timur,92531,79868,76923,65479,70589
Kalimantan Utara,753,799,753,611,1077
Sulawesi Utara,0,0,0,0,0
Gorontalo,0,0,0,0,0
Sulawesi Tengah,4136,4575,3665,3586,4714
Sulawesi Selatan,11433,10891,5282,4624,9614
Sulawesi Barat,0,0,0,0,0
Sulawesi Tenggara,67,84,26,31,150
Maluku,1214,1393,560,659,1077
Maluku Utara,0,0,0,0,0
Papua,4080,4103,4100,3740,4308
Papua Barat,0,0,0,0,0
